"","alpha","d","result","power"
"1",0.05,0.01,NA,0.9
"2",0.1,0.01,NA,0.9
"3",0.15,0.01,NA,0.9
"4",0.05,0.01,NA,0.85
"5",0.1,0.01,NA,0.85
"6",0.15,0.01,NA,0.85
"7",0.05,0.01,NA,0.8
"8",0.1,0.01,NA,0.8
"9",0.15,0.01,NA,0.8
"10",0.05,0.01,NA,0.75
"11",0.1,0.01,NA,0.75
"12",0.15,0.01,NA,0.75
"13",0.05,0.01,NA,0.7
"14",0.1,0.01,NA,0.7
"15",0.15,0.01,NA,0.7
"16",0.05,0.05,NA,0.9
"17",0.1,0.05,NA,0.9
"18",0.15,0.05,NA,0.9
"19",0.05,0.05,NA,0.85
"20",0.1,0.05,NA,0.85
"21",0.15,0.05,NA,0.85
"22",0.05,0.05,NA,0.8
"23",0.1,0.05,NA,0.8
"24",0.15,0.05,NA,0.8
"25",0.05,0.05,NA,0.75
"26",0.1,0.05,NA,0.75
"27",0.15,0.05,NA,0.75
"28",0.05,0.05,NA,0.7
"29",0.1,0.05,NA,0.7
"30",0.15,0.05,NA,0.7
"31",0.05,0.1,NA,0.9
"32",0.1,0.1,NA,0.9
"33",0.15,0.1,NA,0.9
"34",0.05,0.1,NA,0.85
"35",0.1,0.1,NA,0.85
"36",0.15,0.1,5748.55521811594,0.85
"37",0.05,0.1,NA,0.8
"38",0.1,0.1,6287.18628459278,0.8
"39",0.15,0.1,2046.72664134532,0.8
"40",0.05,0.1,NA,0.75
"41",0.1,0.1,2377.507506781,0.75
"42",0.15,0.1,1203.83787650597,0.75
"43",0.05,0.1,6171.65969246581,0.7
"44",0.1,0.1,1410.75114155602,0.7
"45",0.15,0.1,822.890037510271,0.7
"46",0.05,0.15,2065.57146928971,0.9
"47",0.1,0.15,1197.75789906362,0.9
"48",0.15,0.15,883.495261499669,0.9
"49",0.05,0.15,1338.08539011421,0.85
"50",0.1,0.15,835.102688227667,0.85
"51",0.15,0.15,629.868678687916,0.85
"52",0.05,0.15,992.425462413009,0.8
"53",0.1,0.15,638.861131813846,0.8
"54",0.15,0.15,485.574453972508,0.8
"55",0.05,0.15,782.175873463087,0.75
"56",0.1,0.15,510.859349956548,0.75
"57",0.15,0.15,388.744833137919,0.75
"58",0.05,0.15,637.0441732335,0.7
"59",0.1,0.15,418.464101191459,0.7
"60",0.15,0.15,317.559462928104,0.7
"61",0.05,0.2,830.852295116975,0.9
"62",0.1,0.2,606.545598817049,0.9
"63",0.15,0.2,493.700162117646,0.9
"64",0.05,0.2,650.373857618228,0.85
"65",0.1,0.2,474.214701078363,0.85
"66",0.15,0.2,384.046054783202,0.85
"67",0.05,0.2,535.367863450152,0.8
"68",0.1,0.2,388.274509499424,0.8
"69",0.15,0.2,312.254560036884,0.8
"70",0.05,0.2,452.167976913238,0.75
"71",0.1,0.2,325.396625345625,0.75
"72",0.15,0.2,259.508912259592,0.75
"73",0.05,0.2,387.422331464694,0.7
"74",0.1,0.2,276.120208970528,0.7
"75",0.15,0.2,218.095755051793,0.7
"76",0.05,0.25,578.460357070148,0.9
"77",0.1,0.25,444.460152860493,0.9
"78",0.15,0.25,371.583194471024,0.9
"79",0.05,0.25,471.737690235812,0.85
"80",0.1,0.25,358.597078374232,0.85
"81",0.15,0.25,296.877220514016,0.85
"82",0.05,0.25,398.948543374882,0.8
"83",0.1,0.25,299.832916421155,0.8
"84",0.15,0.25,245.736045027316,0.8
"85",0.05,0.25,343.755839600769,0.75
"86",0.1,0.25,255.235434335214,0.75
"87",0.15,0.25,206.970420906139,0.75
"88",0.05,0.25,299.237738860559,0.7
"89",0.1,0.25,219.29085261274,0.7
"90",0.15,0.25,175.795890612316,0.7
"91",0.05,0.3,469.723640673986,0.9
"92",0.1,0.3,368.70183350913,0.9
"93",0.15,0.3,311.907960035198,0.9
"94",0.05,0.3,389.618120288715,0.85
"95",0.1,0.3,301.645804141425,0.85
"96",0.15,0.3,252.271102518889,0.85
"97",0.05,0.3,333.391583002796,0.8
"98",0.1,0.3,254.658516588947,0.8
"99",0.15,0.3,210.590848812695,0.8
"100",0.05,0.3,289.864222048128,0.75
"101",0.1,0.3,218.386446549556,0.75
"102",0.15,0.3,178.521005335111,0.75
"103",0.05,0.3,254.177959089436,0.7
"104",0.1,0.3,188.758442069914,0.7
"105",0.15,0.3,152.427421275957,0.7
